Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
62,2017,20,Telangana,Karimnagar,101.89,368.41,3615.81,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,16.81,101.3,6026.29,-1,-1,-1,-1,-1,-1,0.2,0.3,1517.59,0.75,0.6,797.86,0.63,0.44,698.56,1.83,2.94,1603.05,0.01,0,555.56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,1600,-1,-1,-1,-1,-1,-1,53.37,33.45,626.82,2.73,1.32,4.05,-1,0.02,0
63,2015,20,Telangana,Adilabad,57.5,151.6,2636.52,2.73,13.33,4882.78,9.75,11.44,1173.33,8.63,7,811.12,18.38,18.44,1003.26,1.64,1.54,939.02,21.41,73.4,3428.3,0,0,0,0,0,0,13.16,15.71,1193.77,37.93,38.23,1007.91,10.59,7.1,670.35,1.6,3.56,2225,4.19,1.01,241.05,0.28,0.16,571.43,0,0,0,0.06,0.02,333.33,0,0,0,0.13,0.1,769.23,96.37,96.37,1000,102.63,-1,-1,0.01,0.08,7000,336.45,150.96,448.68,6.67,8.45,15.12,-1,0.45,0.22
63,2016,20,Telangana,Adilabad,1.26,3.28,2608.42,1.68,2.64,1570.92,5.5,5.31,965.08,2.62,2.27,867.07,8.12,7.58,933.46,-1,-1,-1,1.84,10.51,5712.34,-1,-1,-1,-1,-1,-1,13.77,21.36,1550.97,20.08,22.16,1104,5.84,4.02,688.59,1.31,2.72,2067.73,0.28,0.16,552.82,-1,-1,-1,-1,-1,-1,0.09,0.05,595.51,-1,-1,-1,0.04,0.07,1794.87,45.8,62.05,1355,-1,-1,-1,0.01,0.07,8137.5,105.75,51.84,490.24,0.24,4.46,4.7,0,0.05,0.04
63,2017,20,Telangana,Adilabad,0.57,1.39,2430.82,1.67,1.84,1103.24,3,2.23,741.1,2.95,3.74,1268.84,5.95,5.96,1002.35,-1,-1,-1,1.45,13.49,9282.17,-1,-1,-1,-1,-1,-1,15.87,27.65,1742.01,22.28,24,1077.01,3.3,2.4,728.84,1.01,2.26,2235.64,0.27,0.13,470.37,-1,-1,-1,-1,-1,-1,0.07,0.07,932.43,-1,-1,-1,0.02,0.05,2125,19.46,30.01,1542.01,-1,-1,-1,0,0.03,7450,142.06,80.47,566.47,0.35,3.59,3.94,-1,0.05,0.08
520,2015,20,Telangana,Rangareddy,24.28,61.41,2529.24,0.2,0.78,3900,5.67,8.45,1490.3,2.12,2.09,985.85,7.79,10.54,1353.02,0.07,0.06,857.14,47.39,181.86,3837.52,0.21,0.23,1095.24,0,0,0,3.75,4.25,1133.33,30.32,8.13,268.14,8.6,4.58,532.85,3.34,4.01,1200.6,0.17,0.01,58.82,0,0,0,0.38,0.29,763.16,0.59,0.3,508.47,0,0,0,0.13,0.16,1230.77,1.33,1.38,1036.95,5.95,6.15,1033.61,1.13,6.25,5546.71,63.01,16.91,268.37,8.86,21.26,30.11,0.55,2.44,2.88
520,2016,20,Telangana,Rangareddy,18.41,52.03,2826.19,0.06,0.08,1258.06,6.92,9.14,1320.05,0.34,0.4,1188.79,7.26,9.54,1313.92,0.14,0.12,870.5,66.87,209.44,3132.26,0.06,0.07,1078.12,-1,-1,-1,2.85,4.2,1477.16,7.78,5.27,677.04,0.98,0.63,642.57,1.17,2.41,2067.81,0.04,0.01,256.41,-1,-1,-1,0.16,0.16,1019.23,1.09,0.46,425.94,-1,-1,-1,0.22,0.4,1794.64,0.24,0.28,1165.25,-1,-1,-1,0,0.01,4866.67,46.1,13.28,288,7.7,18.67,26.37,0.05,0.55,3.45
520,2017,20,Telangana,Rangareddy,25.36,70.67,2787.1,0.04,0.05,1384.62,5.72,6.19,1083.06,0.42,0.57,1350.71,6.14,6.76,1101.45,0.07,0.07,1060.61,52.59,117.71,2238.41,0.02,0.02,1133.33,-1,-1,-1,2.69,3.77,1402.68,6.91,4.79,693.93,0.44,0.16,379.31,1.34,4.04,3023.22,0,-1,-1,-1,-1,-1,0.09,0.05,565.22,1.11,0.6,537,-1,-1,-1,0.18,0.38,2136.36,0.02,0.03,1631.58,-1,-1,-1,0,0.01,6200,80.38,32,398.12,9.78,18.18,27.96,0.03,0.46,3.68
2101,2016,20,Telangana,Kumurambheem Asifabad,14.82,39.92,2694.11,0.41,0.64,1570.02,2.12,2.04,965.08,3.86,3.45,895.98,5.97,5.5,920.49,-1,-1,-1,1.96,9.62,4917.22,-1,-1,-1,-1,-1,-1,3.09,5.81,1880.87,18.34,20.24,1104,5.62,4.05,721.08,0.03,0.07,2060.61,0.1,0.03,288.46,-1,-1,-1,-1,-1,-1,0.03,0.02,592.59,-1,-1,-1,0.05,0.08,1695.65,19.12,25.91,1354.99,-1,-1,-1,0,0.02,8150,71.07,34.84,490.24,0,-1,-1,-1,0.34,0
2101,2017,20,Telangana,Kumurambheem Asifabad,9.57,19.23,2008.46,0.18,0.26,1385.87,1.74,2.07,1185.89,2.84,2.38,840.08,4.58,4.45,971.63,-1,-1,-1,1.69,7.71,4558.25,-1,-1,-1,-1,-1,-1,1.39,1.73,1239.94,14,10.04,716.99,2.32,2.02,873.49,-1,-1,-1,0.13,0.03,244.27,-1,-1,-1,-1,-1,-1,0.03,0.03,928.57,-1,-1,-1,-1,-1,-1,3.62,4.9,1350.99,-1,-1,-1,-1,-1,-1,83.2,31.71,381.18,0,-1,-1,-1,0.11,0
2102,2016,20,Telangana,Macherial,42.22,139.94,3314.38,0,0,1500,-1,-1,-1,0.39,0.46,1189.74,0.39,0.46,1189.74,-1,-1,-1,2.3,12.45,5409.64,-1,-1,-1,-1,-1,-1,0.26,0.34,1297.71,5.38,5.93,1104,1.94,1.39,713.84,0.24,0.5,2066.39,0.18,0.06,342.54,-1,-1,-1,0.01,0,666.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.61,0.82,1354.79,-1,-1,-1,-1,-1,-1,48.28,23.67,490.23,0,-1,-1,-1,0.13,0
2102,2017,20,Telangana,Macherial,47.33,121.57,2568.37,-1,-1,-1,0.04,0.04,950,0.39,0.52,1351.42,0.43,0.56,1313.82,-1,-1,-1,1.29,5.1,3965.01,-1,-1,-1,-1,-1,-1,0.15,0.23,1513.16,2.45,1.4,572.83,0.91,0.66,731.57,0.22,0.48,2237.21,0.07,0.03,388.89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24,0.38,1622.88,-1,-1,-1,-1,-1,-1,56.47,34.92,618.35,0,-1,-1,-1,0.13,0
2103,2016,20,Telangana,Nirmal,37.59,115.6,3074.99,1.25,1.96,1570.86,0.04,0.04,976.19,2.48,4.24,1710.08,2.52,4.28,1697.86,-1,-1,-1,24.54,154.58,6300.39,0.01,0.01,1181.82,-1,-1,-1,7.46,8.75,1172.99,6.89,7.6,1103.96,7.51,5.31,706.59,0.62,1.28,2067.74,5.57,2.19,394.04,-1,-1,-1,0.31,0.21,662.42,-1,-1,-1,-1,-1,-1,0.02,0.03,1812.5,45.71,61.94,1355.01,-1,-1,-1,0.01,0.05,8133.33,50.5,24.76,490.23,0,-1,-1,-1,0.35,0.14
2103,2017,20,Telangana,Nirmal,36.19,107.69,2975.71,0.91,1.69,1855.1,0,0,1000,2.65,3.8,1434.93,2.65,3.81,1434.27,1.14,1.2,1057.07,25.75,199.64,7753.05,-1,-1,-1,-1,-1,-1,9.92,10.63,1071.98,8.28,7.75,936.01,6.16,4.21,682.95,0.23,0.52,2238.1,3.65,1.43,391.07,-1,-1,-1,0.5,0.29,567.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.02,44.85,1280.99,-1,-1,-1,-1,-1,-1,59.26,35.64,601.41,0,-1,-1,-1,0.39,0.23
2104,2016,20,Telangana,Jagityal,98.85,371.77,3760.9,-1,-1,-1,-1,-1,-1,0.7,0.84,1190.07,0.7,0.84,1190.07,9.37,8.15,869.96,36.22,190.16,5250.54,-1,-1,-1,-1,-1,-1,0.17,0.22,1301.2,2.01,1.89,938.9,5.61,5.37,957.2,1.36,2.44,1793.69,7.54,7.38,979.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.04,1772.73,5.92,11.3,1906.99,-1,-1,-1,0.41,1.13,2725.36,13.05,7.52,575.99,0,-1,-1,-1,0.4,0
2104,2017,20,Telangana,Jagityal,92.54,289.83,3132.01,-1,-1,-1,-1,-1,-1,0.24,0.33,1351.24,0.24,0.33,1351.24,1.91,2.02,1057.01,31.47,140.81,4473.82,-1,-1,-1,-1,-1,-1,0.19,0.29,1518.32,2.18,1.39,635.99,4.33,4.29,990.08,0.94,1.36,1452.99,6.9,3.57,516.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.57,3.58,1394.16,-1,-1,-1,0.27,2.12,7800,10.81,3.78,349.41,0,-1,-1,-1,0.47,0
2105,2016,20,Telangana,Peddapally,96.44,399.21,4139.51,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,2.62,2.28,869.13,12.55,79.18,6306.49,-1,-1,-1,-1,-1,-1,0.18,0.23,1297.75,1.83,1.72,938.8,1.51,1.18,778.95,0.22,0.46,2068.18,0.21,0.15,740.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,0.11,1915.25,-1,-1,-1,-1,-1,-1,30.66,17.66,576,0,-1,-1,-1,0.02,0
2105,2017,20,Telangana,Peddapally,88.67,303.88,3427.29,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,5.31,47.4,8923.76,-1,-1,-1,-1,-1,-1,0.11,0.17,1518.18,0.4,0.32,799,0.14,0.1,742.86,0.03,0.06,2241.38,0.03,0.02,575.76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.31,22.77,579.18,0,-1,-1,-1,0,0
2106,2016,20,Telangana,Rajanna Siricilla,54.27,212.74,3920.32,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,6.61,32.78,4962.76,-1,-1,-1,-1,-1,-1,0.36,0.46,1299.72,2.28,2.14,939.06,1.77,1.2,679.1,0.22,0.46,2068.18,0.15,0.12,801.32,-1,-1,-1,-1,-1,-1,0.03,0.02,580.65,-1,-1,-1,0,0.01,1800,0.55,1.04,1906.76,-1,-1,-1,-1,-1,-1,42.81,24.66,576,0,-1,-1,-1,0.06,0
2106,2017,20,Telangana,Rajanna Siricilla,45.62,144.57,3168.77,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,2.38,7.43,3121.85,-1,-1,-1,-1,-1,-1,0.34,0.52,1516.13,0.69,0.55,797.67,0.57,0.42,728.7,0.17,0.37,2234.94,0.13,0.07,571.43,-1,-1,-1,-1,-1,-1,0.02,0.02,916.67,-1,-1,-1,0,0.01,2200,0.1,0.16,1620,-1,-1,-1,0.01,0.04,7433.33,50.59,30.58,604.59,0,-1,-1,-1,0.07,0
2107,2016,20,Telangana,Bhadradri Kothagudam,53.39,191.76,3591.54,-1,-1,-1,0,0,1000,0.05,0.06,1191.49,0.05,0.06,1183.67,0.03,0.02,857.14,9.89,60.11,6075.81,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.45,1.09,444.94,3.18,2.93,921.99,2.44,5.33,2185.81,0.51,0.2,394.48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.02,0.02,1157.89,-1,-1,-1,1,5.75,5776.48,37.98,23.12,608.82,0,-1,-1,-1,0,0.01
2107,2017,20,Telangana,Bhadradri Kothagudam,54.23,172.38,3178.76,-1,-1,-1,-1,-1,-1,0.12,0.16,1350,0.12,0.16,1350,-1,-1,-1,10.36,56.76,5477.85,-1,-1,-1,-1,-1,-1,0,0,2000,1.27,1.02,798.27,1.68,1.73,1029.69,1.34,3.78,2815.2,0.11,0.05,437.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.01,0.02,2142.86,0,0.01,1500,-1,-1,-1,0.82,7.01,8506.92,46.1,32.26,699.88,0,-1,-1,-1,0,0.01
2108,2016,20,Telangana,Jogulamba Gadwal,22.04,56.41,2559.64,-1,-1,-1,0.74,0.58,794.56,2.05,2.61,1275.12,2.79,3.2,1148.29,1.18,1.25,1061.07,8.08,15.76,1949.78,-1,-1,-1,-1,-1,-1,17,11.17,657.02,22.68,12.38,546.02,1.42,1.1,776.45,25.66,51.96,2024.66,-1,-1,-1,-1,-1,-1,-1,-1,-1,13.55,8.12,598.94,-1,-1,-1,0.41,0.34,821.52,0.01,0.01,1111.11,-1,-1,-1,1.03,4.15,4044.79,38.43,12.13,315.53,0,-1,-1,-1,4.3,0
2108,2017,20,Telangana,Jogulamba Gadwal,26.05,61.54,2362.46,-1,-1,-1,0.09,0.09,945.65,1.58,4.78,3018.31,1.68,4.87,2904.53,0.38,0.44,1168.87,8.95,47.12,5263.49,-1,-1,-1,-1,-1,-1,15.55,20.4,1312.01,15.83,10.08,637.04,1.04,0.92,881.62,19.72,46.59,2363,0,0,500,-1,-1,-1,-1,-1,-1,5.66,5.99,1057.96,-1,-1,-1,0.15,0.31,2136.05,-1,-1,-1,-1,-1,-1,1.87,15.32,8203.43,59.36,23.44,394.94,0,-1,-1,-1,3.3,0.08
2109,2016,20,Telangana,Nagarkurnool,19.21,48.33,2515.75,-1,-1,-1,8.09,6.43,795.01,0.85,1.01,1190.36,8.94,7.45,832.63,0.46,0.48,1061.4,115.38,128.72,1115.61,0.15,0.18,1171.05,-1,-1,-1,0.46,0.6,1298.06,12.83,7,546.04,0.68,0.52,760.71,42.7,96.55,2261.38,0.03,0.03,794.12,-1,-1,-1,-1,-1,-1,2.78,1.66,598.92,-1,-1,-1,0.17,0.31,1793.1,0.04,0.04,1162.16,-1,-1,-1,-1,-1,-1,67.35,21.25,315.53,0,-1,-1,0.04,0.08,0.2
2109,2017,20,Telangana,Nagarkurnool,25.91,73.99,2856.13,-1,-1,-1,3.58,2.19,613.08,0.42,0.31,749.4,3.99,2.5,627.25,0.27,0.28,1055.76,65.88,135.18,2051.85,0.21,0.29,1387.56,-1,-1,-1,0.2,0.31,1517.07,9.08,5.78,636.95,0.29,0.22,763.7,53.75,123.61,2299.75,0,0,600,-1,-1,-1,-1,-1,-1,1.42,1.47,1030.96,-1,-1,-1,0,0.01,2200,-1,-1,-1,-1,-1,-1,0.04,0.33,8160,127.01,34.96,275.29,0,-1,-1,0,0.1,0.23
2110,2016,20,Telangana,Wanaparthy,45.64,128.76,2821.02,-1,-1,-1,3.21,2.55,794.9,0.18,0.21,1188.57,3.39,2.76,815.23,-1,-1,-1,23.58,27.4,1162.28,0.1,0.12,1166.67,-1,-1,-1,3.32,4.31,1299.01,14.31,7.82,546.05,3.79,2.9,763.25,23.21,54.08,2329.96,-1,-1,-1,-1,-1,-1,-1,-1,-1,5.64,3.38,598.94,-1,-1,-1,0,0,1666.67,0.01,0.01,1142.86,-1,-1,-1,1.45,5.87,4044.77,1.68,0.53,315.51,0,-1,-1,-1,0.75,0
2110,2017,20,Telangana,Wanaparthy,55.85,130.24,2331.83,-1,-1,-1,2.33,2.54,1090.17,0.06,0.08,1350,2.39,2.62,1096.69,0,0,1000,18.22,58.28,3199.26,0.09,0.11,1148.94,-1,-1,-1,2.97,6.34,2132.15,14.09,10.76,763.97,3.91,3.19,814.58,26.51,56.77,2141.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.13,5.75,938.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.98,16.02,8104.81,4.38,2.17,495.53,0,-1,-1,-1,0.72,0
2111,2016,20,Telangana,Sangareddy,26.41,104.48,3956.75,0.85,0.94,1106.13,8,5.68,709.98,4.28,5.14,1200,12.28,10.81,880.82,0.24,0.21,870.83,22.51,60.02,2666.02,-1,-1,-1,-1,-1,-1,9.95,14.14,1420.99,24.6,16.56,673.01,37.84,26.62,703.5,0.12,0.25,2049.18,0.13,0.02,193.8,-1,-1,-1,1.77,0.72,406.9,0.02,0.01,590.91,-1,-1,-1,0.06,0.12,1769.23,36.78,39.06,1062,-1,-1,-1,10.83,90.89,8393.69,69.74,26.88,385.41,0,-1,-1,2.03,2.55,0.34
2111,2017,20,Telangana,Sangareddy,39.36,148.03,3761.24,0.52,0.54,1036.26,5.19,4.75,915.93,3.28,4.53,1379.99,8.46,9.28,1095.69,0.1,0.1,1060.61,15.54,56.1,3610.44,-1,-1,-1,-1,-1,-1,7.1,9.7,1366.04,22.8,19.47,854.01,25.34,19.93,786.46,0.11,0.25,2236.36,0.04,0.01,305.56,-1,-1,-1,1.44,0.91,631.76,0.04,0.04,951.22,-1,-1,-1,0.01,0.02,2125,15.91,23.93,1503.99,-1,-1,-1,15.69,108.26,6900.31,106,74.86,706.24,0,-1,-1,1.2,1.68,0.09
2112,2016,20,Telangana,Siddipet,71.42,258.25,3615.75,0.01,0.01,1125,0.15,0.1,709.46,-1,0,0,0.15,0.1,709.46,-1,-1,-1,114.72,315.51,2750.21,-1,-1,-1,-1,-1,-1,4.99,7.1,1422.93,8.93,6.01,673.05,2.25,1.84,819.03,1.41,2.92,2066.48,0.07,0.06,808.82,-1,-1,-1,-1,-1,-1,0.42,0.25,590.48,-1,-1,-1,3.24,6.03,1859.74,0.69,0.73,1062.23,-1,-1,-1,-1,-1,-1,51.58,19.88,385.41,0,-1,-1,0.46,0.54,0.02
2112,2017,20,Telangana,Siddipet,79.87,283.06,3544.03,0.01,0.01,1428.57,0.02,0.02,937.5,-1,0,0,0.02,0.02,937.5,-1,-1,-1,78.41,259.06,3304.14,-1,-1,-1,-1,-1,-1,3.75,4.93,1315,6.18,3.7,598.06,1.41,1.44,1021.95,1.11,1.96,1760.11,0.03,0.02,580.65,-1,-1,-1,-1,-1,-1,0.08,0.08,937.5,-1,-1,-1,2.52,5.56,2210.17,0.16,0.26,1623.46,-1,-1,-1,0.18,1.36,7800,77.06,47.08,610.94,0,-1,-1,0.37,0.39,0
2113,2016,20,Telangana,Suryapet,140.92,498.1,3534.56,-1,-1,-1,-1,-1,-1,0.45,0.54,1190.27,0.45,0.54,1190.27,-1,-1,-1,0.18,0.99,5651.43,-1,-1,-1,-1,-1,-1,0.09,0.11,1295.45,16.84,11.18,664.01,25.23,10.5,416.37,9.94,14.2,1429.3,0.12,0.01,50.42,-1,-1,-1,-1,-1,-1,0,0,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.15,8.7,7575.52,33.6,9.96,296.47,0,-1,-1,-1,-1,0.07
2113,2017,20,Telangana,Suryapet,155.58,560.51,3602.68,-1,-1,-1,-1,-1,-1,0.37,0.5,1351.21,0.37,0.5,1351.21,-1,-1,-1,0.18,1.16,6338.8,-1,-1,-1,-1,-1,-1,0.1,0.15,1515.15,10.4,8.03,771.99,18.38,9.55,519.84,7.38,14.22,1927.86,0.03,0.01,250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.32,10.83,8199.77,49.92,29.65,594,0,-1,-1,-1,-1,0.04
2114,2016,20,Telangana,Yadadri Bhuvanagiri,77.78,283.46,3644.54,0,0,1000,2.21,0.96,431.93,0.02,0.02,1166.67,2.23,0.98,437.86,0.03,0.02,586.21,5.22,10.06,1926.68,-1,-1,-1,-1,-1,-1,0.09,0.11,1302.33,12.79,8.49,664.01,1.18,0.52,436.44,0.28,0.49,1735.71,0.34,0.02,55.07,-1,-1,-1,-1,-1,-1,0.36,0.09,239.01,-1,-1,-1,-1,-1,-1,0.14,0.16,1165.47,-1,-1,-1,0.02,0.12,7575,47.21,14,296.47,0,-1,-1,0,0,1.13
2114,2017,20,Telangana,Yadadri Bhuvanagiri,98.93,342.34,3460.42,-1,-1,-1,1.43,0.6,417.25,-1,0,0,1.43,0.6,417.25,-1,-1,-1,1.44,4.41,3067.55,-1,-1,-1,-1,-1,-1,0.09,0.13,1511.63,7.46,3.66,491.02,1.06,0.8,760.64,0.09,0.19,2206.9,0.09,0.01,141.3,-1,-1,-1,-1,-1,-1,0.08,0.08,939.76,-1,-1,-1,-1,-1,-1,0.01,0.01,1571.43,-1,-1,-1,0.01,0.1,7438.46,67.85,30.03,442.59,0,-1,-1,-1,0,1.77
2115,2016,20,Telangana,Kamareddy,79.95,311.93,3901.61,0.63,0.57,906.5,0.21,0.12,583.73,3.25,5.9,1816.87,3.46,6.03,1742.34,-1,-1,-1,44.09,216.73,4915.78,0,0,1000,-1,-1,-1,21.07,28.23,1339.98,5.18,3.24,625.1,12.72,12.3,966.76,0.28,0.58,2067.38,0.04,0.03,794.87,-1,-1,-1,0.76,0.64,849.21,0,0,666.67,-1,-1,-1,0.1,0.17,1791.67,56.85,55.42,975,-1,-1,-1,3.72,31.23,8388.18,7.86,3.26,415.05,0,-1,-1,-1,0.45,0
2115,2017,20,Telangana,Kamareddy,93.93,315.19,3355.53,0.45,0.86,1909.29,0.15,0.14,941.18,3.37,4.92,1458.91,3.52,5.06,1436.44,-1,-1,-1,43.64,231.29,5300.31,-1,-1,-1,-1,-1,-1,19.69,33.21,1687.02,6.39,7.22,1131.03,12.04,11.68,970.19,0.16,0.35,2234.18,0.03,0.02,586.21,-1,-1,-1,0.91,0.2,216.87,0,0,1000,-1,-1,-1,0.16,0.35,2134.15,33.2,62.48,1882.01,-1,-1,-1,4.4,34.29,7798.29,17.81,8.11,455.3,0,-1,-1,-1,0.56,0
2116,2016,20,Telangana,Malkaigiri,6.43,22.59,3514.08,0,0,1000,0.04,0.05,1315.79,0.01,0.01,1166.67,0.04,0.06,1295.45,-1,-1,-1,1.32,4.34,3292.87,-1,-1,-1,-1,-1,-1,0.09,0.12,1303.37,0.14,0.1,675.86,0.02,0.01,700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,500,-1,-1,-1,0,0,2000,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,0.02,287.09,0,-1,-1,0,0.01,0.72
2116,2017,20,Telangana,Malkaigiri,9.4,33.9,3608.24,-1,-1,-1,0.06,0.06,937.5,0.01,0.01,1375,0.07,0.07,986.11,-1,-1,-1,1.2,4.57,3814.85,-1,-1,-1,-1,-1,-1,0.08,0.12,1512.82,0.14,0.11,797.2,0,0,1000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.01,2000,0,0,1500,-1,-1,-1,-1,-1,-1,0.15,0.07,493.2,0,-1,-1,-1,0.01,0.58
2117,2016,20,Telangana,Vikarabad,20.48,54.01,2637.38,0.15,0.18,1251.7,4.6,6.07,1319.93,2.18,1.97,901.97,6.78,8.04,1185.44,0.01,0.01,857.14,37.59,121.45,3230.77,0.08,0.08,1075.95,-1,-1,-1,3.69,5.81,1575.92,61.27,41.48,676.99,16.07,12.08,751.6,5.2,9.07,1745.19,0.03,0,151.52,-1,-1,-1,0.32,0.32,1015.72,0,0,500,-1,-1,-1,0,0.01,1750,3.22,3.76,1165.94,-1,-1,-1,1.4,6.81,4882.29,30.79,8.87,288,0,-1,-1,0.6,1.13,0.15
2117,2017,20,Telangana,Vikarabad,19.49,57.04,2927.08,0.1,0.13,1385.42,3.91,3.06,781.9,1.92,1.76,916.1,5.83,4.82,826.07,0,0,1000,28.59,92.9,3248.82,0.08,0.09,1142.86,-1,-1,-1,3.24,4.67,1439.85,62.22,46.91,753.99,14.63,9.39,641.5,5.16,10.55,2044.57,0.08,0.02,230.77,-1,-1,-1,0.32,0.28,886.44,-1,-1,-1,-1,-1,-1,0.03,0.07,2125,1.16,1.89,1623.92,-1,-1,-1,2.08,16.21,7802.89,51.6,23.77,460.59,0,-1,-1,0.57,1.8,0.19
2118,2016,20,Telangana,Jayashankar Bhuppaly,87.27,301.66,3456.73,-1,-1,-1,-1,-1,-1,0.01,0.01,1142.86,0.01,0.01,1142.86,-1,-1,-1,5.68,28.99,5102.6,-1,-1,-1,-1,-1,-1,0.16,0.2,1299.36,0.89,0.49,555.81,3.55,2.87,808.85,1.21,2.61,2150.74,0.12,0.04,318.97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,0.08,1169.23,-1,-1,-1,0,0.01,8400,60.98,33.25,545.3,0,-1,-1,-1,0.01,0
